09/19/16 13:43:17:739 | [INFO] |  |  |  | OOBELib |  |  | 2486452 | __OOBELIB_LOG_FILE__
09/19/16 13:43:17:975 | [INFO] |  |  |  | OOBELib |  |  | 2486452 | Closing AdobeIALClient 1.0 Release (build 1.0.6.3) session.
09/19/16 13:43:17:976 | [INFO] |  |  |  | OOBELib |  |  | 2486452 | *************OOBELib Session Ends*************
09/19/16 13:43:18:033 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | Dispatch table Not found parallel to binary, looking into P7 folder
09/19/16 13:43:18:033 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | Dispatch table file doesnot in parallel to binary or inside the binary, falling back to ACF path.
09/19/16 13:43:18:034 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | Dispatch table loaded from path: /Library/Application Support/Adobe/OOBE/PDApp/P7/dispatchtable.xml 
09/19/16 13:43:18:036 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | (re)load Local Dispatch Table status-[0].
09/19/16 13:43:18:037 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | Scope : [2]
09/19/16 13:43:18:038 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | Setting scope to GM
09/19/16 13:43:18:039 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | EndPoint requested: [IdentityManagement]
09/19/16 13:43:18:040 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | Length of the URL: [33]
09/19/16 13:43:18:042 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | Returning from getEndpointAddr: [0]
09/19/16 13:43:18:043 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | EndPoint requested: [IdentityManagement]
09/19/16 13:43:18:044 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | Length of the URL: [33]
09/19/16 13:43:18:045 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | URL found [https://ims-prod06.adobelogin.com]
09/19/16 13:43:18:046 | [INFO] |  |  |  | DispatchClientLib |  |  | 2486452 | Returning from getEndpointAddr: [0]
